Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
East Dakota Educational Cooperative,ESA2: Increasing Student Achievement Through Data Driven Decisions,Sioux Falls,SD,57104,"""ESA2: Increasing Student Achievement through Data Driven Decisions project utilizes a Data Use Cycle (DUC) to coach rural and urban LEAs to incorporate strategies, practices, and programs focused on the evaluation, analysis, and use of student achievement and growth data. ESA2 will organize and analyze data with partnering LEAs. Each LEA will be assigned a School Improvement Specialist who will coach them to examine, take ownership of and make decisions from their data. As a result, interventions will be created in each LEA focused on the challenges outlined by the data. The ESA2 plan goes beyond creating a plan, to assisting LEAs to evaluate progress and make modifications, if necessary. Our approach will shift schools from current state, through a transformational state, and lead them to a data driven and research-based mindset. Through targeted data collection, aggregation, interpretation and analysis, ESA2 will team with schools to assist to prioritize needs and options for research based professional development and innovative interventions designed to focus on the unique challenges of rural schools and high-need students.""",AP2: Use of Data,"CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,5 years,5605409,No,"Sioux Falls, SD
(43.5562, -96.7341)"
"East End House, Inc.",Generating and Evaluating New Adventures in Science After School (GENASAS),Cambridge,MA,2141,"""East End House and partners seek an Investing in Innovation (i3) Development Grant to expand, collect data on, and evaluate the Gnerating and Evaluating New Adventures in Scence After School (GENASAS) Program.  GENASAS is a community-based program supporting school day learning in a 'pipeline' of science, technology, engineering and math (STEM) education that engages students in STEM activities and interventions from preschool to high school.  This innovative framework is aimed at improving student achievement and preparing a new generation for the STEM careers of the future.  Our whole-community, assets-based approach to supporting a city has been recognized by entities such as UNCA  and President Obama's Promise Neighborhood initiative  as the force of the future, and is modeled by the Harlem Children's Zone, among others.  By pulling together vital services, tapping into community assets, and serving the whole child, family, and community - coupled with rigorous evaluation and large scale-up efforts - neighborhood centers like ours can partner with schools to change the disturbing trends of underachievement in our nation's youth.  GENASAS will involve 300 students across Cambridge in preschool-8th grade in STEM learning.  CPSD will provide data on student grades and MCAS scores for an intensive study of GENASAS' effectiveness.  Expected outcomes for students participating in GENASAS programs include:  (1) Increase in Kindergarten readiness after Preschool, (2) Improvement of science and math MCAS scores, and (3) Improvement of science and math grades in school.""",AP2: Use of Data,"CP5: Early Learning, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,3000000,No,"Cambridge, MA
(42.3683, -71.0824)"
East Mountain High School,"EXPLORE, PLAN, ACT: Using Nationally Normed College Readiness Assessments to Drive Teaching and Learning",Sandia Park,NM,87047,"""East Mountain High School seeks funding to meet the absolute priority of improving the use of data to eliminate the Hispanic achievement gap and increase the number and percentage of students who successfully enroll in a two or four year college and complete a college degree.  Our proposal seeks to pilot the use of the EXPLORE, PLAN and ACT as short-cycle assessments in order to adjust curriculum and instruction to increase the number and percentage of students who are prepared for college as defined by the benchmark scores set by the ACT in Reading, English, Math and Science.  While EMHS has met these benchmark scores on average in Reading and English, we have not yet in Math and Science.  Additionally, we have not yet met our goal of ensuring that each student meets the benchmark score in each subject.  Nationally, only 23% of students taking the ACT achieved the college readiness benchmark score in all four subject areas.  Achieving this score in all four subject areas would indicate that a student has a 75% probability of achieving a C or better and a 50% probability of achieving a B or better in a credit-bearing College English Composition, Algebra or Biology course. In addition to piloting the use of the EXPLORE, PLAN and ACT, East Mountain High School will work with Solution Tree to implement the strategies of Professional Learning Communities at Work, the Marzano Research Laboratory and McRel Research Laboratory to define essential course outlines, align curriculum to instructional activities and provide both teachers and administrators with professional development based on researched and tested best practices.  With the support of outside experts and careful analysis of the results of our short-cycle assessments, East Mountain High School will change our focus from a process-orientation to a results-orientation to ensure that our students are 100% prepared for college.""",AP2: Use of Data,CP6: College Access and Success College Access and Success,LEA,Development,4 years,621720,No,"Sandia Park, NM
(35.1554, -106.31)"
"East Waco Innovative School Development, Inc.",Texas Quality Initiative,Waco,TX,76704,"""The East Waco Innovative School Development (EWISD) will partner with the Texas Charter Schools Association (TCSA) to embark on the Texas Quality Initiative (TQI).  The TQI will pilot, enhance, and scale a quiality intiative for public charter schools in Texas. The Quality Framework being developed by TCSA in designed to provide methods and tools for charter schools to aggregate, analyze, and access performance data and resources to match needs that will improve not only student achievement, but also operational processes crucial to student success.The Quality Framework is the first in the nation built specifically for charter schools, by charter school leaders, merging research-based test practices from the fields of education and business with practical operator insights. East Waco Innovative School Development, Inc. (WEISD), an LEA, has been an integral part of the design team for th Quality Framework and is the applicant of this Investing in Innovation Fund Development Grant.The Texas Quality Initiative will help schools complete assessments, set performance targets, prioritize development opportunities, select solutions and implement them, and evaluate for progress completing a cycle of continuous improvement. Aggregated data will be used to demonstrate growth in the level and consistency of quality of charter schools statewide, thereby instilling confidence in public charter schools among the general public and policymakers.The Texas Charter Schools Association (TCSA), the statewide of 384 effective charter chools service over 77,700 students in Texas, will be the implementation partner for the Texas Quality Initiative, and all members have pledged to embrace the Quality Framework. TCSA has also commited to provide the 20% required match and full sustention after the grant period.""",AP2: Use of Data,,LEA,Development,3 years,3846676,No,"Waco, TX
(31.5821, -97.125)"
EASTCONN,Aligning for Success,Hampton,CT,6247,"""The goal of Aligning for Success is to improve the readiness and early learning success of our state's youngest learners, ages 3 to grade 3, by creating greater consistency in program quality through the establishment of a common data culture. Our reform model will use professional development and the establishment of a regional, collaborative problem-solving team to introduce and support the use of a data-driven decision-making model in all sites. As a result, promote common language about learning expectations, standards, use of common assessments, and effective transition practices will help to ensure that preparation and long-term academic achievement gaps are effectively reduced. Summary of Project Objectives and Outcomes: Objectives include increasing the number of children, preschool through 3rd grade, who demonstrate growth on skill development on selected measures, and to implement with fidelity a consistent data-driven process to review assessment and ongoing performance data with a focus on learning results to inform teaching strategies. Number of Students to be served: 25,000Official Partners: Hebron, Middletown, Sprague, Stafford, Vernon, and Windham Public School Districts. Other partners include the Connecticut State Department of Education, Connecticut State Education Service Center, Department of Higher Education, and the Emily Hall Tremaine Foundation.Special features: The integration of a data culture in preschool and early elementary grades is a reform-focused approach that is not being done anywhere in CT, at this time, despite research to indicate the effectiveness of this model for reducing the academic achievement gap.""",AP2: Use of Data,CP5: Early Learning,LEA,Development,4 years,2184486,No,"Hampton, CT
(41.7657, -72.0617)"
Eastern Kentucky University,Mathematics,Richmond,KY,40475,"""The Mathematics Education by the Numbers in Appalachian Kentucky program, proposed by Eastern Kentucky University in partnership with over forty public school districts in eastern Kentucky, involves three distinct, yet highly-related, initiatives. The first involves moving developmental math courses from the first year of college to the final year of high school. The second involves a comprehensive basic skills initiative centered on automaticity, numeracy and mathematics fluency and a comprehensive testing and remediation program that will assist K-9 students in readiness for high school math courses. The third involves the creation of a data warehouse that can be used by Kentucky LEAs and universities to determine the strengths, weaknesses, and needs of the student population in the Southeastern /South Central regions of Kentucky. The first two initiatives are based on the expansion of two small-scale piloted programs, created and implemented through a cooperative initiative between Eastern Kentucky University and several school districts in its service region, that have shown promising results.  The final one involves extracting currently existing data from the Kentucky's P-20 data system (which is fairly limited), adding the data from the two initiatives previously mentioned as well as other research data that becomes available, combining the data in meaningful ways, and doing analysis that can be made available to Kentucky LEAs and universities. The users of the data warehouse will be able to create tools to address particular student needs as well as add to the knowledge base concerning Kentucky's Appalachian schoolchildren, treatments that work to remedy deficits and generalizable concepts to Kentucky's school populations and similar populations across the United States.""",AP2: Use of Data,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,29377275,No,"Richmond, KY
(37.7634, -84.3001)"
Eastern Michigan University,"Wrap-Around Tutoring: Using Academic Support to Increase Academic Achievement, High School Graduation and College Enrollment",Ypsilanti,MI,48197,"""The EMU Wayne Westland I3 program will help motivate Wayne Westland students in the class of 2015 to greater academic achievement and will thus increase the number of students who apply and attend a postsecondary school. The diverse pool of students (71% White, 25% African-American, 5% Hispanic Origin) face an uncertain future, as the automobile industry that sustained the area for generations has declined, leaving schools dealing with unprecedented levels poverty and transiency (the districts Free/Reduced lunch level have risen to over 50%). Thus, for these students in the class of 2015, high school graduation and postsecondary training is a prerequisite to an economic future, not a luxury.The goal of this proposal is to raise academic achievement in mathematics for a cohort of students beginning in grade 8, and ending with high school graduation/college enrollment five years later. This will be measured by scores on the Michigan Merit Exam/ACT in mathematics, by passing and promotion rates in math, and by individual student grades. The strategy proposed here is a system of ?wrap-around? academic support, including in-class tutoring, as well as out-of-class tutoring by trained, degreed and certified academic coaches.Through a strong emphasis on evaluation and outcomes, the program will thoughtfully train tutors, collaborate with district staff, and refine content material based on the student's needs as they are guided to meet the I3 project's goals. The students will benefit from several programs including in-class and out-of-class tutoring during traditional school hours, including support during the district's summer school program.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,5 years,2772279,No,"Ypsilanti, MI
(42.2331, -83.6238)"
Eastmont School District,Build It!,East Wenatchee,WA,98802,"""Build It applies a core STEM focused extra-curricular program to the general school program. K-12 students have the opportunity to compete in competitions that require them to use math, science, read, write, and apply engineering skills. This is done through involving students in competitions related to bridge design, battle robots, containers and product storage (egg drop containers), Lego robots, hydro, wind, and solar power generation and storage, solar dragsters, single stage rockets, bio-medical solutions, and additional similar activities. The goal for participating schools is to increase student performance of all socio-economic groups, increase graduation rates, and increase the number of high school graduates pursuing science and math related programs at the college and university level.  All activities would be in addition to the regular school day either before school, after school, or during the summer. """,AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",LEA,Development,5 years,4659392,Yes,"East Wenatchee, WA
(47.4385, -120.235)"
Edgewood Independent School District of San Antonio,Project DATA--Developing Accurate Targets for Achievement--A Comprehensive Data System to Ensure the Academic Success of Students through a District-wide 3rd Grade Reading Proficiency Model.,San Antonio,TX,78237,"""The Edgewood Independent School District (EISD) of San Antonio, TX, is applying for a Development Grant to address Priority 2. We propose to develop and implement an automated longitudinal data system that not only integrates student academic, attendance, health, social, and emotional data, but also collects information on interventions. This seamless and transparent data system will enable us to track individual students? progress within and across grades, and across schools, and will facilitate appropriate data sharing among schools, community agencies, parents, and other stakeholders. Equally important, we will also develop and implement a comprehensive, systematic process for data analysis and data-based decision making that will markedly increase our capacity to boost achievement for individual students and groups of students district-wide.This innovation will support monitoring and implementation of practices, strategies, and programs designed to improve educational outcomes for high-need young children (pre-K through 3rd grade) by enhancing the quality of our early learning programs. It will spur efforts we have already begun to help all our children read on grade level by 3rd grade.The data system will follow an open source development approach and the end-product will be made available to the K12 community free of cost for adaptation and further development under an open government philosophy. Another outstanding feature is the implementation of a comprehensive set of research-based practices designed to achieve 3rd grade reading proficiency rarely implemented in their totality in schools serving predominantly low-income children, and even more rarely implemented district-wide. Success at scale will mean that we have the data, tools and human capital to assess, monitor, track, and make timely interventions leading to the results we seek.""",AP2: Use of Data,CP5: Early Learning,LEA,Development,5 years,4780652,No,"San Antonio, TX
(29.4227, -98.5657)"
Edinboro University of Pennsylvania,Leadership and Achievement: Center for Rural Leadership Project,Edinboro,PA,16444,"""Edinboro University of Pennsylvania, located in rural Edinboro, Pennsylvania,  proposes a five-year federally-funded U.S. Department of Education Investing In Innovation Fund Grant (i3) entitled Leadership and Achievement: Center for Rural Leadership Project (CRLProject). The CRLProject proposes to improve the academic performance of students in rural schools in Pennsylvania through improved leadership that changes the culture of the schools.The project activities will include the development of an institute titled Center for Rural Leadership (CRL). The CRL will be created to research, gather, and disseminate information and best practices that focus on leadership recruitment, professional development, and retention of school leaders at all levels.  This will be achieved through pre-service leadership immersion, mentoring, professional development, and leadership assessment.CRLProject addresses three key objectives: 1) Establish a professional development model that utilizes collaborative partnerships, immersion experiences, and mentorships; 2) impact rural student achievement by impacting leadership practices that change the school culture; 3) develop, document, and disseminate research of best practices.The CRLProject proposed project outcomes will demonstrate the ability of school leadership, at all levels, to shape school culture, based upon understanding the rural culture, in a manner that impacts student achievement.	The initial phase will involve Edinboro University's School of Education, Education for the Future (non-profit organization), Dubois Area School District, Reynolds School District, and Penncrest School District.?????""",AP1: Effective Teachers and Principals,CP8: Rural LEAs,Nonprofit w/ LEA,Development,5 years,3397132,No,"Edinboro, PA
(41.876, -80.1303)"
Edison State College,Early Intervention: Pathways to Increased Educational Attainment,Fort Myers,FL,33907,"""This Development grant will further the educational partnership between Edison State College and Fort Myers Middle Academy through daytime student programming for all 663 students at Fort Myers Middle Academy and a Night Academy for parent and guardian educational opportunities, student learning and career center education for all.  Objectives and outcomes include increasing educational attainment for parents and guardians of FMMA students by 10%, offering value-added services to entice families to participate in the Night Academy and have 25% of all families participate at least once per week, and offer career education to all 6th-8th graders.""",AP4: Persistently Low-Performing Schools,CP6: College Access and Success College Access and Success,LEA,Development,5 years,1563530,No,"Fort Myers, FL
(26.5648, -81.8871)"
Edmonds School District #15,Broadening Excellence through Literacy Labs (BELL) Project,Lynnwood,WA,98036,"""The purpose of the Edmonds School District's Broadening Excellence through Literacy Labs (BELL) Project is to refine, expand and implement a district-developed, research-based model of professional development that has demonstrated the potential to increase teacher effectiveness in teaching literacy to pre-K to grade 8 students, especially English Language Learners (ELLs).The proposed model combines three powerful components of professional development:1.	Facilitated visits to Literacy Lab classrooms, in which trained master teachers model lessons demonstrating effective literacy practices for other teachers.2.	Professional content-focused study, in which participating teachers learn about effective literacy practices and why they are effective, and relate this information to the practices observed in the Literacy Lab classrooms as well as to their own teaching.3.	Intense one-to-one coaching from a trained instructional literacy coach in the context of the teacher's own classroom, emphasizing the needs of ELLs and other high-need students within a balanced literacy program.In the first year of implementation, 27 teachers from the district's six highest-need schools will participate. In the second year, 39 teachers will participate in a test of the feasibility of implementing the model on a wider scale; 26 teachers will receive two different implementation designs while 13 teachers act a control group. In the third year of implementation, 44 teachers from Years 1 and 2 plus some additional middle school teachers will participate in the refined model. A great deal of data will be gathered throughout the project, including classroom observation data, teacher and principal surveys, coaches' logs, and videotapes of observation debriefs. Videotapes of trained Literacy Lab teachers will also be made.""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP7: Unique Learning Needs",LEA,Development,3 years,1332977,No,"Lynnwood, WA
(47.8028, -122.285)"
EDUCATION CONNECTION,"Science, Technology, Engineering, and Math Education for the 21st Century (STEM21)",Litchfield,CT,6759,"""EDUCATION CONNECTION?s Center for 21st Century Skills, in collaboration with official partners CTCollege of Technology; Southern CT State University; CT Pre-Engineering Program; CT Office for WorkforceCompetitiveness; research partner, Education Development Center; a regional consortium of high-need schooldistricts and other partners including the CT State Department of Education (CSDE) and private industryproposes an i3 Development Project: Science, Technology, Engineering, and Math Education for the 21stCentury (STEM21). This project responds to Absolute Priority 3, Competitive Priority 6, and CompetitivePriority 8. STEM21 builds on the success of prior NSF-funded work and the state-supported ConnecticutCareer Choices (CCC) Program, to more fully develop, implement, and evaluate a rigorous grade 9-12 STEMAcademy model with strong potential to increase high-need student STEM interest and achievement. Courseswill be delivered in a ?blended? learning environment, engaging students in a progression of innovative onlinecoursework guided by teachers in classrooms and augmented by experiential learning. To foster STEM21participation, high-need middle school students will be involved in STEM preparatory programs. STEM21students will be eligible to earn up to 15 college credits prior to graduation. Promising evidence to dateincludes curriculum testing in diverse settings (1,200 students; >40% minority); statistically significantincreases in student STEM content knowledge/career interest; and CSDE endorsement of the science sequenceas a model for 21st century high school redesign. Expected outcomes include the full development andimplementation of the STEM21 model in diverse high school settings. Robust research and evaluation willassess the model?s effectiveness in engaging high-need students in secondary and post-secondary STEMcoursework, improving student achievement and growth, and identify strategies for high fidelity replicationand scaling.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,5 years,4473481,No,"Litchfield, CT
(41.7502, -73.1891)"
"Education Development Center, Inc.",Nashville Next Generation Learning (NNGL),Newton,MA,2458,"""NNGL seeks an i3 Development grant to implement and test a comprehensive program for high school transformation that prepares all students for success in college and careers. Goals are to improve the academic achievement, college preparedness, and workplace readiness of low-performing students in Nashville, TN; build capacity in Nashville to implement and sustain the model; and provide evidence of the program?s impact, paving the way for national scale-up. Lead partners are Education Development Center, Inc. (EDC) and Metropolitan Nashville Public Schools (MNPS); other key partners are Ford Motor Company Fund and Nashville business and civic organizations. NNGL grows out of current work to revitalize MNPS high schools, using the Ford Partnership for Advanced Studies Next Generation Learning (Ford PAS NGL) model. Project activities 1) augment Nashville?s NGL implementation with curricular support for career-themed academy students underprepared in literacy and mathematics; 2) provide intensive, job-embedded professional development for coaches and teacher teams; 3) complete quasi-experimental research to assess fidelity of implementation and program impact; 4) expand NNGL within MNPS; and 5) disseminate findings and mentor other sites nationally . Five hundred students in three Ford PAS Academies will participate; staged scale-up is expected to reach 19,000 Nashville students within four years of project completion. Other Ford PAS NGL Network community partners are poised and eager to learn from NNGL. Key outcomes include improved student achievement, a cadre of leaders and coaches with on-the-ground experience in school transformation, and a ready-made national network to support scale-up. NNGL is a unique and innovative program that shows what it takes to prepare students for both college and careers, fully integrate rigorous academic standards with authentic and rigorous career technical standards, and create both evidence and and exemplary resources.""",AP4: Persistently Low-Performing Schools,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,4 years,4014728,No,"Newton, MA
(42.3525, -71.1907)"
"Education Development Center, Inc.",Success at the Core i3 Proposal,Newton,MA,2458,"""Success at the Core: i3 Development Grant ProposalAbsolute Priority 3, Competitive Priority 8Success at the Core is the only quality, professional development toolkit that is adaptable, available on-demand, and free. SaC?s focus on improving instruction and school leadership and its web-based platform have tremendous promise for impacting middle school student outcomes and how professional development takes place across the country. SaC?s ultimate goal is to improve middle school student performance in ELA, math, and science, so students are ready for a college preparatory curriculum. To this end, we will:? refine and further develop materials for rural and other high needs schools;? research the use and impact of SaC in rural schools; and? build awareness and promote use of SaC in seven states.Education Development Center (EDC) requests $3,979,871 from the i3 fund for this work. Our generous collaborators from the start, philanthropist Paul G. Allen and Vulcan Productions, further extend their support by committing 29% in match: $1,165,316. In addition, we partner in development with three Washington LEAs: Cascade School District, Chimacum School District, and North Mason School District.Over four years, SaC will impact over 375,000 students, beginning in its home state of Washington. Economies of scale are tremendous, because SaC is web-based and free. With state and local budgets in crisis, now is the time to develop these relevant and cost-effective materials further, to research how much impact SaC can have in the long term, and provide access to and equity for professional learning, and subsequently for student learning, particularly for rural schools.See SaC at http://successatthecore.com, User: guest@guest.com, Password: guest.""",AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,Nonprofit w/ LEA,Development,4 years,3979872,No,"Newton, MA
(42.3525, -71.1907)"
"Education Enterprise of New York, Inc.",Rochester Regional Education Service Consortium Links to Success: Private Resources for Innovation Public Education,Rochester,NY,14618,"""The Rochester Regional Education Service Consortium, formed to address the growing needs of the local public city school district, presents its application for the Investing in Innovation (i3) Validation grant proposal. The uniquely innovative approach will provide a landscape change to the way public and private education enterprises approach widening achievement gaps in the Rochester City School District (RCSD).The Consortium environment recognizes the need for comprehensive, K-12 wrap-around services to extend throughout the school year and into summer enrichment. Special features for this innovative project include the communal management structure and database system that follows RCSD students between each enrichment possibility, maximizing their potential for success in school with the public/private consortium environment.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,4 years,21402920,No,"Rochester, NY
(43.1198, -77.5567)"
Education Northwest,Oregon ExEL,Portland,OR,97204,"""Education Northwest proposes the Oregon ExEL project to redesign the principal evaluation systems used infive partner school districts to include three common elements: (1) a rubric for measuring instructional leadershipfor equity, (2) measures of student growth, and (3) a professional development program that provides principalswith the knowledge and skills required to exercise instructional leadership for equity and to identify andimplement policy changes. When used collaboratively, the Leadership for Equity (LE) Rubric offers greatpotential to assist local districts in assessing, understanding, and further developing administrators? capacity tosupport highly rigorous instruction and the production of equitable educational outcomes in their schools. Theobjectives of the ExEL project are to: (1) validate and implement the LE Rubric as one of several measures to beused by each district to evaluate principal performance; (2) create and implement a principal professionaldevelopment program based on the LE Rubric to support instructional leadership for equity; and (3) identify andimplement policy changes to support the new evaluation systems. Intermediate outcomes for this projectinclude changes in principal knowledge and ability to make decisions that lead to more equitable outcomes.Long-term outcomes include the application of principal knowledge to redesign school culture, structure, andpractices, resulting in increased student achievement and growth, particularly for high-needs students. The projectwill also review and revise district policies to mitigate barriers to closing the achievement gap, working acrossthe districts to strengthen policies and create an environment that supports the development of instructionalleaders for equity.""",AP1: Effective Teachers and Principals,CP7: Unique Learning Needs,Nonprofit w/ consortium of schools,Development,3 years,3866669,No,"Portland, OR
(45.518, -122.672)"
Education Northwest,Educator Navigator,Portland,OR,97204,"""Education Northwest proposes the Educator Navigator project to develop and scale up a web-based consumerdecisionmaking tool that helps educators to identify, select, and implement effective, high-quality programs,practices, products, and services that can meet the improvement needs of schools. We will create a ?one-stopshop?where users can find and contribute to a comprehensive, web-based guide to the education improvementmarketplace. The design and functionality of Educator Navigator will draw from popular current consumerreporting websites in the publishing, travel and leisure, automotive, and electronics industries. Teams from thefive school district partners in the Northwest will participate in the design and scale up of the website for theduration of the project. The primary objectives of the project are to (a) design, develop, and scale up an effectiveeducation consumer reporting tool; (b) promote the use of evidence in decisionmaking; and (c) demonstrate thevalue of the Design-Educational Engineering-Development (D-EE-D) approach to promote innovation. Theprimary outcomes of the project are more evidence-based decisions at the district, school, and classroom level tosupport the identification, selection, and implementation of approaches that can help schools?particularly thoselocated in rural areas?turn around. Educator Navigator creates the next generation of consumer reporting ineducation by giving users a voice in providing quality ratings and implementation advice. The project?sengagement, scale-up, and sustainability plans will be designed using leading edge thinking from the field ofsocial marketing, a rarity in the education field.""",AP4: Persistently Low-Performing Schools,CP8: Rural LEAs,Nonprofit w/ consortium of schools,Development,3 years,4166102,No,"Portland, OR
(45.518, -122.672)"
"Education Pioneers, Inc.",Education Pioneers,Oakland,CA,94612,"""Education Pioneers (EP)?with Official Partners Boston Public Schools and Aspire Public Schools and 39 Other Partners?seeks to improve the academic performance of high-need students by ensuring that the organizations serving these students have the talent they need to analyze data and make decisions that are most likely to positively affect student achievement.We plan to accomplish this goal by expanding the pipeline of talent with demonstrated analytic skills. Over time, EP Summer Fellows and Alumni have increasingly specialized in bringing data-focused, analytic capacity to our partner organizations, and EP has emerged as a strategic, cost-effective and scalable pipeline for providing analytic talent to organizations looking to collect and use data more effectively to increase student achievement.Seeing both our ability to make a significant impact in improving the use of data in our Partners and an overwhelming demand for such talent from our current partners, EP plans to expand the supply of analytic talent for the education sector through a formalized Data Leadership Track. First, we plan to scale our Analyst Fellowship. Second, we plan to formalize the Data Leadership Track within the Summer Fellowship and Alumni program with specific strategies to recruit, prepare, and support leaders with deep analytical skills.EP requests a $4.9 million Investing in Innovation Development grant to enable us to formalize and expand our Data Leadership Track, and we commit to raising $1 million in matching funds. With i3 funding, EP?s Data Leadership Track will recruit and prepare 130 Analyst Fellows and 427 Summer Fellows and support 796 Alumni working as full-time data managers and leaders by 2013. The infusion of highly-skilled analytic talent and leadership will (1) enable organizations to evaluate their performance and make more sound programmatic decisions, and (2) create a necessary culture shift which emphasizes effective use of data across the sector.""",AP2: Use of Data,,Nonprofit w/ LEA,Development,3 years,4926113,No,"Oakland, CA
(37.8129, -122.27)"
Education Service Center  Region XIII,RAISEup Texas,Austin,TX,78723,"""Education Service Center Region XIII (Region XIII) is applying for a Validation grant under Absolute Priority 3: RAISEup Texas (Research-Validated Approach to Instruction for Secondary Excellence in Texas).  RAISEup Texas represents a proven collaborative including Region XIII; seven local school district partners in Central Texas (Austin, Eanes, Hays, Leander, Pflugerville, Round Rock and San Marcos Independent School Districts); and the nonprofit E3 Alliance.  Over the next five years, RAISEup Texas will implement the research-validated Strategic Instruction Model and Content Literacy Continuum (collectively, 'SIM/CLC') school-wide in 26 middle schools and pilot SIM/CLC in 9 high schools.  SIM/CLC developers the University of Kansas Center for Research on Learning will act as program management partners for RAISEup Texas.  The Meadows Center for the Prevention of Educational Risk and the Texas Institute for Measurement, Evaluation, and Statistics will participate as independent evaluators.  Other committed RAISEup Texas partners and supporters include teacher preparation programs, the teachers' union, political leaders, and multiple business and private foundation funders.RAISEup Texas addresses four critical needs: 1) Improving the performance of secondary students  in grades 6-9 to ensure they are on-track for successful high school and college completion;  2) Eliminating achievement gaps among secondary students, including students at risk of educational failure; 3) Increasing the effectiveness of instruction of secondary educators to prepare increasingly diverse groups of learners; and 4) Building a sustainable, replicable platform for dramatic improvement in secondary schools. RAISEup Texas will directly impact over 50,000 students in the partner districts, simultaneously building capacity to scale rapidly up to 195,000 students in the Region XIII service area, and many more in the state and beyond.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Validation,5 years,30000000,No,"Austin, TX
(30.3067, -97.6831)"
Education Service Center Region 12,Accelerated College Entrance (ACE) Project,Waco,TX,76702,"""The Education Service Center Region 12 (ESC-12) strives to assist local area school districts in preparing highschool graduates to be ?college ready? because of a growing number of high-need students (i.e., students whoare economically disadvantaged, English language learners (ELL), will be first generation college students,etc.) with one or more risk factors [e.g., being far below grade level, homelessness, being placed in foster care,being incarcerated, etc.) who are ?at risk? of educational failure, Thus, ESC-12 has partnered with 12 localschool districts and a local area nonprofit, Hill College, who will provide the needed match, to apply for adevelopment grant under the Investing in Innovation Fund Grant Program (i3). Specifically, ESC-12 proposesthe Accelerated College Entrance (ACE) Project to increase the success of underrepresented high schoolstudents by providing academically rigorous courses and programs through junior and high schoolimplementation of the Advancement Via Individual Determination (AVID) program and through the use of aDual Enrollment (DE) program, modeled after the early college, high school design, with Hill College. TheACE Project is designed with multiple objectives, including: (1) improved student achievement; (2) closedachievement gaps; (3) increased high school graduation rates; and (4) increased college enrollment andcompletion rates.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",LEA,Validation,5 years,10353211,No,"Waco, TX
(31.545, -97.1426)"
"Education, Hawaii Department of",Increasing Student Achievement through Analyzing Student Data,Honolulu,HI,96813,"""The Hawaii Department of Education (HIDOE), in partnership with the New Teacher Center and Learning point associates, offers the following proposal for a development grant to fund an innovative strategy for encouraging and facilitating the evaluation, analysis and use of student achievement data by educators, family and other stakeholders.  This innovation is a development of the New Teacher Center (NTC) Analysis of Student Data training that was originally designed and implemented as a critical piece of the NTC comprehensive induction model.  This training will be implemented as a series of trainings for the whole school/community.  The trainings will offer explicit strategies for teachers of high-need stiudents and support the overall structure of the ASD process.  The overall focus of the ASDM will be on the evaluation, analysis and use of student achievement and classroom data, and is expected to inform decision making, improve student achievement and teacher performance and productivity.  The proposed project will address a largely unmet need in the low-performing schools of Hawaii.""",AP2: Use of Data,CP7: Unique Learning Needs,LEA,Development,5 years,2221309,No,"Honolulu, HI
(21.3147, -157.854)"
"Educational Leadership, Inc.",SchoolStack Academic Dashboard and Early Warning System,Houston,TX,77057,"""The SCHOOLSTACK ACADEMIC DASHBOARD AND EARLY WARNING SYSTEM (SchoolStack) project provides an easy-to-use and easy-to-access technology tool for teachers and administrators at Southwest Schools. It presents current views of school, class, and student performance and other key success data in order to enhance decision-making capability that promotes specific actions to encourage student success. As an academic dashboard, it retrieves current student data from multiple data sources to create valuable data views in pie chart, line graph, bar chart, or more detailed formats. As an early warning system, the tool delivers alerts to stakeholders to allow proactive planning or intervention in cases that may threaten student achievement.""",AP2: Use of Data,"CP5: Early Learning, CP7: Unique Learning Needs",LEA,Development,3 years,900000,No,"Houston, TX
(29.746, -95.4908)"
